episode,reward,avg_waiting_time
1,1760,4.38
2,1594,4.78
3,1837,4.06
4,1618,5.14
5,1809,4.06
6,1800,4.08
7,1767,3.9
8,1760,4.22
9,1496,5.36
10,1809,4.3
11,1705,4.54
12,1902,3.6
13,1792,4.5
14,1828,4.1
15,1797,4.04
16,1721,4.58
17,1847,3.84
18,1837,4.14
19,1685,4.48
20,1828,3.56
21,1889,3.74
22,1154,6.56
23,1896,3.64
24,1646,5.1
25,1889,3.82
26,1907,3.62
27,1755,4.3
28,1939,3.14
29,1829,4.06
30,1865,3.8
31,1799,4.24
32,1777,4.28
33,1569,4.88
34,1962,2.88
35,1894,3.44
36,1560,5.2
37,1904,3.48
38,1873,3.82
39,1901,3.42
40,1901,3.5
41,1871,3.6
42,1929,3.34
43,1954,2.96
44,1839,4.18
45,1566,5.3
46,1747,4.12
47,1930,3.2
48,1920,3.32
49,1765,4.38
50,1782,4.12
51,1787,3.82
52,1933,3.1
53,1945,3.26
54,1541,4.78
55,1900,3.32
56,1881,3.82
57,1898,3.52
58,1866,3.92
59,1699,4.04
60,1921,3.34
61,1938,3.36
62,1590,4.44
63,1928,3.48
64,1107,5.96
65,1828,4.28
66,1824,4.36
67,1804,4.1
68,1828,3.94
69,1901,3.5
70,1908,3.4
71,1886,3.6
72,1999,2.66
73,1891,3.54
74,1888,3.8
75,1783,4.22
76,1818,3.84
77,1850,4.16
78,1941,3.26
79,1885,3.82
80,1896,3.48
81,1593,4.92
82,1845,3.82
83,1871,3.7
84,1892,3.56
85,1918,3.68
86,1943,3.3
87,1901,3.5
88,1837,4.06
89,1896,3.62
90,1931,3.38
91,1865,3.88
92,1951,3.06
93,1948,3.0
94,1909,3.08
95,1815,4.14
96,1780,4.42
97,1842,3.98
98,1979,2.9
99,1915,3.22
100,1916,3.64
101,1771,3.66
102,1880,3.54
103,1793,4.3
104,1919,3.46
105,1960,3.0
106,1954,3.12
107,1797,4.44
108,1853,4.14
109,1958,3.2
110,1913,3.34
111,1919,3.22
112,1926,3.36
113,1891,3.46
114,1948,3.16
115,1703,4.26
116,1803,4.16
117,1898,3.6
118,1877,3.64
119,1906,3.5
120,1927,3.22
121,1931,3.54
122,1842,3.76
123,1922,3.52
124,1930,3.44
125,1887,3.54
126,1932,3.3
127,1910,3.36
128,1866,4.0
129,1879,3.76
130,1905,3.58
131,1929,3.26
132,1836,3.76
133,1944,3.48
134,1926,3.2
135,1946,3.52
136,1883,3.78
137,1893,3.58
138,1688,4.28
139,1910,3.44
140,1927,3.3
141,1940,3.08
142,1935,3.22
143,1929,3.26
144,1943,3.14
145,1908,3.72
146,1928,3.24
147,1916,3.4
148,1931,3.14
149,1947,3.22
150,1910,3.52
151,1928,3.32
152,1901,3.66
153,1953,3.02
154,1957,3.26
155,1961,3.02
156,1877,3.9
157,1944,3.4
158,1951,2.98
159,1929,3.66
160,1878,3.68
161,1956,3.0
162,1947,3.22
163,1934,3.28
164,1936,3.24
165,1977,3.1
166,1944,3.08
167,1939,3.38
168,1901,3.74
169,1914,3.84
170,1929,3.42
171,1949,3.34
172,1956,3.32
173,1863,3.92
174,1925,3.1
175,1934,3.36
176,1920,3.48
177,1826,3.58
178,1955,3.22
179,1970,2.96
180,1927,3.38
181,1953,3.1
182,1933,3.34
183,1940,3.32
184,1940,3.4
185,1945,3.1
186,1973,2.94
187,1947,3.3
188,1964,3.0
189,1961,3.02
190,1749,4.18
191,1893,3.74
192,1890,3.76
193,1933,3.26
194,1836,3.86
195,1930,3.36
196,1937,3.58
197,1918,3.04
198,1912,3.56
199,1919,3.46
200,1933,3.26
201,1901,3.34
202,1914,3.76
203,1904,3.64
204,1932,3.48
205,1922,3.28
206,1919,3.3
207,1980,3.0
208,1946,3.2
209,1943,3.38
210,1930,3.52
211,1941,3.1
212,1959,3.06
213,1968,3.08
214,1916,3.56
215,1932,3.56
216,1936,3.08
217,1968,2.92
218,1927,3.22
219,1917,3.16
220,1824,3.78
221,1947,3.3
222,1939,3.46
223,1947,3.3
224,1855,3.86
225,1978,2.72
226,1752,4.22
227,1920,3.48
228,1920,3.4
229,1974,2.88
